student_id,group_key
878130557,
272210128,sec6:มี2
682511317,
910787990,sec1:วิดวะมช.รู้จักปะ
576447795,sec4:eiei
980017884,sec4:อ้ายมา2คน
413916653,
631260988,sec4:อ้ายมา2คน
187041216,sec6:มี2
625662710,
615320084,
877304244,sec1:หารู้ไม่
558130082,
279951861,
288785711,sec1:เซรั่มนารา
213548803,
943301355,sec3:no123
451096464,
644173123,sec3:eiei
892850152,
439704899,sec1:stickyriceลูกผู้ชายพันธุ์ข้าวเหนียว
143429497,sec1:เอนทาเนียร์ตัวจิ๋ว
129937341,sec1:กุ๊กๆกู๋
810225868,
861746087,sec3:nguang-non
105284582,sec1:กุ๊กๆกู๋
872868299,
122409946,sec1:วิดวะมช.รู้จักปะ
939187116,sec1:เซรั่มนารา
509184677,sec3:tew
307948318,sec1:วิดวะมช.รู้จักปะ
926015644,sec1:วิดวะมช.รู้จักปะ
622719960,sec6:มี2
623616646,
178904241,sec6:มี2
737382628,sec2:อยากได้ชุดโกโกวา
470945878,sec3:nguang-non
863279112,sec4:จุบุจุบุ
702254431,
831034852,
869436276,
108011397,
715694375,sec3:นางฟ้าตัวน้อยของแม่
920072976,
942122575,sec3:ไออีสีชมพู
780082092,sec4:joytotheworld
988095396,sec1:กุ๊กๆกู๋
468854721,sec3:นางฟ้าตัวน้อยของแม่
265838141,sec4:abc
571582212,sec1:ปาท่องโก๋ทอด
773934806,sec1:ปาท่องโก๋ทอด
833295480,sec1:stickyriceลูกผู้ชายพันธุ์ข้าวเหนียว
422101094,sec4:hiwmakkkk
726758156,sec1:ปาท่องโก๋ทอด
560031396,
147462019,sec3:eiei
424572536,sec4:hellouniverse
700869766,
441578561,sec3:eiei
814155689,sec4:abc
119994878,
870338797,sec1:ปาท่องโก๋ทอด
632704380,
314480223,sec4:hiwmakkkk
629112397,sec4:hellouniverse
639783060,
972771663,
248620914,sec4:hellouniverse
339640167,sec4:abc
148729091,sec4:eiei
686990980,sec4:hiwmakkkk
531345448,sec3:นางฟ้าตัวน้อยของแม่
928888463,
654289633,sec6:มา3
943756240,
465611577,sec4:eiei
843085174,sec6:บิดหมดไม่สลดบิดอีก
976888273,
347458475,sec6:print(a)
904787303,sec4:eiei
366005470,sec3:eiei
804598122,sec3:ไก่บักโจ้น
445250627,sec6:ไม่ทันแล้ว
348258681,sec6:บิดหมดไม่สลดบิดอีก
717266470,sec6:ไม่ทันแล้ว
